  epoch 94 | batch 250/844 | loss 41956.6641
  epoch 94 | batch 300/844 | loss 46673.0977
  epoch 94 | batch 350/844 | loss 46402.4844
  epoch 94 | batch 400/844 | loss 49720.8164
  epoch 94 | batch 450/844 | loss 33749.5273
  epoch 94 | batch 500/844 | loss 35257.6328
  epoch 94 | batch 550/844 | loss 43105.9375
  epoch 94 | batch 600/844 | loss 46631.7031
  epoch 94 | batch 650/844 | loss 42072.5078
  epoch 94 | batch 700/844 | loss 39762.9258
  epoch 94 | batch 750/844 | loss 52419.0273
  epoch 94 | batch 800/844 | loss 35249.9648
0094 | loss 34094161.22 | recon 33273202.17 | kl 205239.76 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 95 | batch 0/844 | loss 31439.4668
  epoch 95 | batch 50/844 | loss 35926.8984
  epoch 95 | batch 100/844 | loss 44315.1562
  epoch 95 | batch 150/844 | loss 44541.4688
  epoch 95 | batch 200/844 | loss 50773.3867
  epoch 95 | batch 250/844 | loss 36837.8711
  epoch 95 | batch 300/844 | loss 38140.6953
  epoch 95 | batch 350/844 | loss 55796.9258
  epoch 95 | batch 400/844 | loss 42076.5703
  epoch 95 | batch 450/844 | loss 59201.9062
  epoch 95 | batch 500/844 | loss 31791.0156
  epoch 95 | batch 550/844 | loss 40578.0898
  epoch 95 | batch 600/844 | loss 30277.4355
  epoch 95 | batch 650/844 | loss 44471.7695
  epoch 95 | batch 700/844 | loss 45717.3828
  epoch 95 | batch 750/844 | loss 46953.9883
  epoch 95 | batch 800/844 | loss 39943.8242
0095 | loss 34443148.02 | recon 33596169.97 | kl 211744.50 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 96 | batch 0/844 | loss 51824.2930
  epoch 96 | batch 50/844 | loss 38466.5469
  epoch 96 | batch 100/844 | loss 41009.9805
  epoch 96 | batch 150/844 | loss 33272.6406
  epoch 96 | batch 200/844 | loss 41288.1875
  epoch 96 | batch 250/844 | loss 30753.4102
  epoch 96 | batch 300/844 | loss 30443.3750
  epoch 96 | batch 350/844 | loss 31880.7148
  epoch 96 | batch 400/844 | loss 39603.7031
  epoch 96 | batch 450/844 | loss 36835.9180
  epoch 96 | batch 500/844 | loss 58641.7266
  epoch 96 | batch 550/844 | loss 36793.7383
  epoch 96 | batch 600/844 | loss 39747.4570
  epoch 96 | batch 650/844 | loss 31986.0898
  epoch 96 | batch 700/844 | loss 41231.2852
  epoch 96 | batch 750/844 | loss 28973.2422
  epoch 96 | batch 800/844 | loss 42778.6797
0096 | loss 33715524.39 | recon 32889352.77 | kl 206542.89 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 97 | batch 0/844 | loss 33992.7656
  epoch 97 | batch 50/844 | loss 28776.3770
  epoch 97 | batch 100/844 | loss 37054.8750
  epoch 97 | batch 150/844 | loss 44096.1055
  epoch 97 | batch 200/844 | loss 38165.9922
  epoch 97 | batch 250/844 | loss 43628.7305
  epoch 97 | batch 300/844 | loss 45734.4102
  epoch 97 | batch 350/844 | loss 41942.9375
  epoch 97 | batch 400/844 | loss 36275.3008
  epoch 97 | batch 450/844 | loss 43234.1914
  epoch 97 | batch 500/844 | loss 47560.4453
  epoch 97 | batch 550/844 | loss 32282.5332
  epoch 97 | batch 600/844 | loss 40650.0273
  epoch 97 | batch 650/844 | loss 41037.7227
  epoch 97 | batch 700/844 | loss 43291.4609
  epoch 97 | batch 750/844 | loss 40232.7188
  epoch 97 | batch 800/844 | loss 32884.8008
0097 | loss 34102618.41 | recon 33275659.28 | kl 206739.79 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 98 | batch 0/844 | loss 34598.9531
  epoch 98 | batch 50/844 | loss 44393.7891
  epoch 98 | batch 100/844 | loss 43466.9609
  epoch 98 | batch 150/844 | loss 35996.2656
  epoch 98 | batch 200/844 | loss 49767.9180
  epoch 98 | batch 250/844 | loss 50749.3320
  epoch 98 | batch 300/844 | loss 44174.4648
  epoch 98 | batch 350/844 | loss 37226.1875
  epoch 98 | batch 400/844 | loss 51795.5781
  epoch 98 | batch 450/844 | loss 53412.4844
  epoch 98 | batch 500/844 | loss 31727.7695
  epoch 98 | batch 550/844 | loss 25125.3027
  epoch 98 | batch 600/844 | loss 28617.1113
  epoch 98 | batch 650/844 | loss 32995.7070
  epoch 98 | batch 700/844 | loss 56056.7539
  epoch 98 | batch 750/844 | loss 55597.7969
  epoch 98 | batch 800/844 | loss 35738.7500
0098 | loss 34169695.78 | recon 33352806.53 | kl 204222.31 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 99 | batch 0/844 | loss 33229.4766
  epoch 99 | batch 50/844 | loss 34783.6562
  epoch 99 | batch 100/844 | loss 33793.0117
  epoch 99 | batch 150/844 | loss 32104.0195
  epoch 99 | batch 200/844 | loss 44540.7031
  epoch 99 | batch 250/844 | loss 41549.4102
  epoch 99 | batch 300/844 | loss 29513.2617
  epoch 99 | batch 350/844 | loss 28970.9414
  epoch 99 | batch 400/844 | loss 38913.4883
  epoch 99 | batch 450/844 | loss 28257.2930
  epoch 99 | batch 500/844 | loss 37390.1406
  epoch 99 | batch 550/844 | loss 34623.5078
  epoch 99 | batch 600/844 | loss 46827.1289
  epoch 99 | batch 650/844 | loss 38956.7383
  epoch 99 | batch 700/844 | loss 41494.8906
  epoch 99 | batch 750/844 | loss 26673.0547
  epoch 99 | batch 800/844 | loss 35725.6055
0099 | loss 33682228.35 | recon 32903829.02 | kl 194599.84 | sin 0.00 | beta 4.000 | sin_w 0.0000
  epoch 100 | batch 0/844 | loss 49632.4688
  epoch 100 | batch 50/844 | loss 50944.6211
  epoch 100 | batch 100/844 | loss 37020.3672
  epoch 100 | batch 150/844 | loss 28160.1465
  epoch 100 | batch 200/844 | loss 46623.5742
  epoch 100 | batch 250/844 | loss 37008.4336
  epoch 100 | batch 300/844 | loss 47880.0195
  epoch 100 | batch 350/844 | loss 41035.4609
  epoch 100 | batch 400/844 | loss 34013.3398
  epoch 100 | batch 450/844 | loss 27469.1484
  epoch 100 | batch 500/844 | loss 36369.4375
  epoch 100 | batch 550/844 | loss 41321.1133
  epoch 100 | batch 600/844 | loss 44156.7422
  epoch 100 | batch 650/844 | loss 52039.5547
  epoch 100 | batch 700/844 | loss 42539.7969
  epoch 100 | batch 750/844 | loss 45930.0078
  epoch 100 | batch 800/844 | loss 42483.0586
0100 | loss 33581198.38 | recon 32805018.37 | kl 194045.00 | sin 0.00 | beta 4.000 | sin_w 0.0000
Loaded best checkpoint for inference.
Saved latents         (53973, 10) → /Users/jiayichiyun/Code/deep-gw-cnv/models/experiments/43/../../../data/results/43_06convvae_beta4_18cnvcaller/latents.npy
Saved reconstructions (53973, 51986)  → /Users/jiayichiyun/Code/deep-gw-cnv/models/experiments/43/../../../data/results/43_06convvae_beta4_18cnvcaller/reconstructions.npy
